[2026-04-10 15:25:02] [ERROR] SIG-PORT-SCAN | 10.10.10.50 -> 192.168.1.1 | Potential TCP port scan detected | Source 10.10.10.50 targeted 12 unique destination ports on 192.168.1.1 in the last 10 seconds.
[2026-04-11 09:54:40] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2401:4900:6581:2e04::58 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 49/186 packets in the last 20 seconds (26% of recent traffic).
[2026-04-11 09:54:40] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> fe80::980a:b1ff:feda:5cbe | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 51/190 packets in the last 20 seconds (27% of recent traffic).
[2026-04-11 09:54:42] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2606:4700:83b1:c4f:6afd:8a4:a873:e7f:443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 52/189 packets in the last 20 seconds (28% of recent traffic).
[2026-04-11 09:54:43] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2606:4700:83b2:7cbc:c23b:8a3:5ff2:75c4:443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 59/201 packets in the last 20 seconds (29% of recent traffic).
[2026-04-11 09:54:44] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2404:6800:4007:815::2003:443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 60/204 packets in the last 20 seconds (29% of recent traffic).
[2026-04-11 09:54:46] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2001:4860:4827:7700:::443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 67/220 packets in the last 20 seconds (30% of recent traffic).
[2026-04-11 09:54:46] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2001:4860:4802:32::223:443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 68/220 packets in the last 20 seconds (31% of recent traffic).
[2026-04-11 09:54:51] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2404:6800:4007:83e::200e:443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 55/150 packets in the last 20 seconds (37% of recent traffic).
[2026-04-11 09:54:52] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2404:6800:4000:1025::54:443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 56/151 packets in the last 20 seconds (37% of recent traffic).
[2026-04-11 09:54:53] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2607:f8b0:4004:1007::5e:443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 57/156 packets in the last 20 seconds (37% of recent traffic).
[2026-04-11 09:55:01] [ERROR] SIG-PORT-SCAN | 10.10.10.50 -> 192.168.1.1 | Potential TCP port scan detected | Source 10.10.10.50 targeted 12 unique destination ports on 192.168.1.1 in the last 10 seconds.
[2026-04-11 09:55:01] [CRITICAL] SIG-SYN-FLOOD | 172.16.0.25 -> 192.168.1.100:80 | Possible SYN flood detected | 35 TCP SYN packets hit 192.168.1.100:80 within 10 seconds.
[2026-04-11 09:55:01] [WARNING] ANOM-TRAFFIC-SPIKE | 172.16.0.25 -> 192.168.1.100:80 | Traffic spike from a single source detected | 172.16.0.25 generated 40/59 packets in the last 20 seconds (68% of recent traffic).
[2026-04-11 09:55:01] [ERROR] SIG-ICMP-FLOOD | 192.168.56.77 -> 192.168.1.1 | Possible ICMP flood detected | 20 ICMP packets arrived from 192.168.56.77 within 5 seconds.
[2026-04-11 09:55:01] [WARNING] SIG-BROADCAST-UDP | 192.168.1.60 -> 192.168.1.255:161 | Large UDP packet sent to broadcast address | Broadcast-style UDP traffic may indicate discovery abuse or misuse of internal services.
[2026-04-11 09:55:01] [WARNING] ANOM-LARGE-PACKET | 192.168.1.60 -> 192.168.1.255:161 | Unusually large packet observed | Current packet length 1228 bytes exceeded the recent baseline threshold of 900.0 bytes.
[2026-04-11 09:55:03] [WARNING] ANOM-WIDE-TARGETING | 10.10.10.50 -> 192.168.1.1 | One source is probing many service ports | 10.10.10.50 contacted 16 distinct destination ports in the last 20 seconds.
[2026-04-11 09:55:04] [WARNING] ANOM-TRAFFIC-SPIKE | 192.168.56.77 -> 192.168.1.1 | Traffic spike from a single source detected | 192.168.56.77 generated 40/159 packets in the last 20 seconds (25% of recent traffic).
[2026-04-11 09:55:06] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:27 | Traffic spike from a single source detected | 10.10.10.50 generated 40/181 packets in the last 20 seconds (22% of recent traffic).
[2026-04-11 09:55:06] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:28 | Traffic spike from a single source detected | 10.10.10.50 generated 41/182 packets in the last 20 seconds (23% of recent traffic).
[2026-04-11 09:55:06] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:29 | Traffic spike from a single source detected | 10.10.10.50 generated 42/183 packets in the last 20 seconds (23% of recent traffic).
[2026-04-11 09:55:06] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:30 | Traffic spike from a single source detected | 10.10.10.50 generated 43/184 packets in the last 20 seconds (23% of recent traffic).
[2026-04-11 09:55:06] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:31 | Traffic spike from a single source detected | 10.10.10.50 generated 44/185 packets in the last 20 seconds (24% of recent traffic).
[2026-04-11 09:55:06] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:32 | Traffic spike from a single source detected | 10.10.10.50 generated 45/186 packets in the last 20 seconds (24% of recent traffic).
[2026-04-11 09:55:06] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:33 | Traffic spike from a single source detected | 10.10.10.50 generated 46/187 packets in the last 20 seconds (25% of recent traffic).
[2026-04-11 09:55:06] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:34 | Traffic spike from a single source detected | 10.10.10.50 generated 47/188 packets in the last 20 seconds (25% of recent traffic).
[2026-04-11 09:55:07] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:35 | Traffic spike from a single source detected | 10.10.10.50 generated 48/189 packets in the last 20 seconds (25% of recent traffic).
[2026-04-11 09:55:09] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:20 | Traffic spike from a single source detected | 10.10.10.50 generated 49/259 packets in the last 20 seconds (19% of recent traffic).
[2026-04-11 09:55:09] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:21 | Traffic spike from a single source detected | 10.10.10.50 generated 50/260 packets in the last 20 seconds (19% of recent traffic).
[2026-04-11 09:55:09] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:22 | Traffic spike from a single source detected | 10.10.10.50 generated 51/261 packets in the last 20 seconds (20% of recent traffic).
[2026-04-11 09:55:09] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:23 | Traffic spike from a single source detected | 10.10.10.50 generated 52/262 packets in the last 20 seconds (20% of recent traffic).
[2026-04-11 09:55:09] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:24 | Traffic spike from a single source detected | 10.10.10.50 generated 53/263 packets in the last 20 seconds (20% of recent traffic).
[2026-04-11 09:55:09] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:25 | Traffic spike from a single source detected | 10.10.10.50 generated 54/264 packets in the last 20 seconds (20% of recent traffic).
[2026-04-11 09:55:09] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:26 | Traffic spike from a single source detected | 10.10.10.50 generated 55/265 packets in the last 20 seconds (21% of recent traffic).
[2026-04-11 09:55:09] [CRITICAL] SIG-SYN-FLOOD | 172.16.0.25 -> 192.168.1.100:80 | Possible SYN flood detected | 152 TCP SYN packets hit 192.168.1.100:80 within 10 seconds.
[2026-04-11 09:55:09] [WARNING] ANOM-TRAFFIC-SPIKE | 172.16.0.25 -> 192.168.1.100:80 | Traffic spike from a single source detected | 172.16.0.25 generated 153/307 packets in the last 20 seconds (50% of recent traffic).
[2026-04-11 09:55:10] [ERROR] SIG-ICMP-FLOOD | 192.168.56.77 -> 192.168.1.1 | Possible ICMP flood detected | 26 ICMP packets arrived from 192.168.56.77 within 5 seconds.
[2026-04-11 09:55:10] [WARNING] SIG-BROADCAST-UDP | 192.168.1.60 -> 192.168.1.255:161 | Large UDP packet sent to broadcast address | Broadcast-style UDP traffic may indicate discovery abuse or misuse of internal services.
[2026-04-11 09:55:10] [WARNING] ANOM-LARGE-PACKET | 192.168.1.60 -> 192.168.1.255:161 | Unusually large packet observed | Current packet length 1228 bytes exceeded the recent baseline threshold of 900.0 bytes.
[2026-04-11 09:55:12] [ERROR] SIG-PORT-SCAN | 10.10.10.50 -> 192.168.1.1 | Potential TCP port scan detected | Source 10.10.10.50 targeted 16 unique destination ports on 192.168.1.1 in the last 10 seconds.
[2026-04-11 09:55:12] [WARNING] ANOM-WIDE-TARGETING | 10.10.10.50 -> 192.168.1.1 | One source is probing many service ports | 10.10.10.50 contacted 16 distinct destination ports in the last 20 seconds.
[2026-04-11 09:55:13] [WARNING] ANOM-TRAFFIC-SPIKE | 192.168.56.77 -> 192.168.1.1 | Traffic spike from a single source detected | 192.168.56.77 generated 101/400 packets in the last 20 seconds (25% of recent traffic).
[2026-04-11 09:55:15] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:27 | Traffic spike from a single source detected | 10.10.10.50 generated 88/436 packets in the last 20 seconds (20% of recent traffic).
[2026-04-11 09:55:15] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:28 | Traffic spike from a single source detected | 10.10.10.50 generated 89/437 packets in the last 20 seconds (20% of recent traffic).
[2026-04-11 09:55:15] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:29 | Traffic spike from a single source detected | 10.10.10.50 generated 90/438 packets in the last 20 seconds (21% of recent traffic).
[2026-04-11 09:55:15] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:30 | Traffic spike from a single source detected | 10.10.10.50 generated 91/439 packets in the last 20 seconds (21% of recent traffic).
[2026-04-11 09:55:15] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:31 | Traffic spike from a single source detected | 10.10.10.50 generated 92/440 packets in the last 20 seconds (21% of recent traffic).
[2026-04-11 09:55:15] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:32 | Traffic spike from a single source detected | 10.10.10.50 generated 93/441 packets in the last 20 seconds (21% of recent traffic).
[2026-04-11 09:55:15] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:33 | Traffic spike from a single source detected | 10.10.10.50 generated 94/442 packets in the last 20 seconds (21% of recent traffic).
[2026-04-11 09:55:15] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:34 | Traffic spike from a single source detected | 10.10.10.50 generated 95/443 packets in the last 20 seconds (21% of recent traffic).
[2026-04-11 09:55:15] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:35 | Traffic spike from a single source detected | 10.10.10.50 generated 96/444 packets in the last 20 seconds (22% of recent traffic).
[2026-04-11 09:55:18] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:20 | Traffic spike from a single source detected | 10.10.10.50 generated 97/514 packets in the last 20 seconds (19% of recent traffic).
[2026-04-11 09:55:18] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:21 | Traffic spike from a single source detected | 10.10.10.50 generated 98/515 packets in the last 20 seconds (19% of recent traffic).
[2026-04-11 09:55:18] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:22 | Traffic spike from a single source detected | 10.10.10.50 generated 99/516 packets in the last 20 seconds (19% of recent traffic).
[2026-04-11 09:55:18] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:23 | Traffic spike from a single source detected | 10.10.10.50 generated 100/517 packets in the last 20 seconds (19% of recent traffic).
[2026-04-11 09:55:18] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:24 | Traffic spike from a single source detected | 10.10.10.50 generated 101/518 packets in the last 20 seconds (19% of recent traffic).
[2026-04-11 09:55:18] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:25 | Traffic spike from a single source detected | 10.10.10.50 generated 102/519 packets in the last 20 seconds (20% of recent traffic).
[2026-04-11 09:55:18] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:26 | Traffic spike from a single source detected | 10.10.10.50 generated 103/520 packets in the last 20 seconds (20% of recent traffic).
[2026-04-11 09:55:18] [CRITICAL] SIG-SYN-FLOOD | 172.16.0.25 -> 192.168.1.100:80 | Possible SYN flood detected | 121 TCP SYN packets hit 192.168.1.100:80 within 10 seconds.
[2026-04-11 09:55:18] [WARNING] ANOM-TRAFFIC-SPIKE | 172.16.0.25 -> 192.168.1.100:80 | Traffic spike from a single source detected | 172.16.0.25 generated 241/530 packets in the last 20 seconds (45% of recent traffic).
[2026-04-11 09:55:19] [ERROR] SIG-ICMP-FLOOD | 192.168.56.77 -> 192.168.1.1 | Possible ICMP flood detected | 26 ICMP packets arrived from 192.168.56.77 within 5 seconds.
[2026-04-11 09:55:19] [WARNING] SIG-BROADCAST-UDP | 192.168.1.60 -> 192.168.1.255:161 | Large UDP packet sent to broadcast address | Broadcast-style UDP traffic may indicate discovery abuse or misuse of internal services.
[2026-04-11 09:55:19] [WARNING] ANOM-LARGE-PACKET | 192.168.1.60 -> 192.168.1.255:161 | Unusually large packet observed | Current packet length 1228 bytes exceeded the recent baseline threshold of 900.0 bytes.
[2026-04-11 09:55:21] [ERROR] SIG-PORT-SCAN | 10.10.10.50 -> 192.168.1.1 | Potential TCP port scan detected | Source 10.10.10.50 targeted 16 unique destination ports on 192.168.1.1 in the last 10 seconds.
[2026-04-11 09:55:21] [WARNING] ANOM-WIDE-TARGETING | 10.10.10.50 -> 192.168.1.1 | One source is probing many service ports | 10.10.10.50 contacted 16 distinct destination ports in the last 20 seconds.
[2026-04-11 09:55:22] [WARNING] ANOM-TRAFFIC-SPIKE | 192.168.56.77 -> 192.168.1.1 | Traffic spike from a single source detected | 192.168.56.77 generated 151/570 packets in the last 20 seconds (26% of recent traffic).
[2026-04-11 09:55:24] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:27 | Traffic spike from a single source detected | 10.10.10.50 generated 104/572 packets in the last 20 seconds (18% of recent traffic).
[2026-04-11 09:55:24] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:28 | Traffic spike from a single source detected | 10.10.10.50 generated 105/563 packets in the last 20 seconds (19% of recent traffic).
[2026-04-11 09:55:24] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:29 | Traffic spike from a single source detected | 10.10.10.50 generated 106/557 packets in the last 20 seconds (19% of recent traffic).
[2026-04-11 09:55:24] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:30 | Traffic spike from a single source detected | 10.10.10.50 generated 107/540 packets in the last 20 seconds (20% of recent traffic).
[2026-04-11 09:55:24] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:31 | Traffic spike from a single source detected | 10.10.10.50 generated 108/525 packets in the last 20 seconds (21% of recent traffic).
[2026-04-11 09:55:24] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:32 | Traffic spike from a single source detected | 10.10.10.50 generated 109/526 packets in the last 20 seconds (21% of recent traffic).
[2026-04-11 09:55:24] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:33 | Traffic spike from a single source detected | 10.10.10.50 generated 110/527 packets in the last 20 seconds (21% of recent traffic).
[2026-04-11 09:55:24] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:34 | Traffic spike from a single source detected | 10.10.10.50 generated 111/528 packets in the last 20 seconds (21% of recent traffic).
[2026-04-11 09:55:24] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:35 | Traffic spike from a single source detected | 10.10.10.50 generated 112/529 packets in the last 20 seconds (21% of recent traffic).
[2026-04-11 09:55:26] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:20 | Traffic spike from a single source detected | 10.10.10.50 generated 99/582 packets in the last 20 seconds (17% of recent traffic).
[2026-04-11 09:55:27] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:21 | Traffic spike from a single source detected | 10.10.10.50 generated 99/582 packets in the last 20 seconds (17% of recent traffic).
[2026-04-11 09:55:27] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:22 | Traffic spike from a single source detected | 10.10.10.50 generated 99/581 packets in the last 20 seconds (17% of recent traffic).
[2026-04-11 09:55:27] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:23 | Traffic spike from a single source detected | 10.10.10.50 generated 100/575 packets in the last 20 seconds (17% of recent traffic).
[2026-04-11 09:55:27] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:24 | Traffic spike from a single source detected | 10.10.10.50 generated 101/562 packets in the last 20 seconds (18% of recent traffic).
[2026-04-11 09:55:27] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:25 | Traffic spike from a single source detected | 10.10.10.50 generated 102/544 packets in the last 20 seconds (19% of recent traffic).
[2026-04-11 09:55:27] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:26 | Traffic spike from a single source detected | 10.10.10.50 generated 103/524 packets in the last 20 seconds (20% of recent traffic).
[2026-04-11 09:55:27] [CRITICAL] SIG-SYN-FLOOD | 172.16.0.25 -> 192.168.1.100:80 | Possible SYN flood detected | 121 TCP SYN packets hit 192.168.1.100:80 within 10 seconds.
[2026-04-11 09:55:27] [WARNING] ANOM-TRAFFIC-SPIKE | 172.16.0.25 -> 192.168.1.100:80 | Traffic spike from a single source detected | 172.16.0.25 generated 241/530 packets in the last 20 seconds (45% of recent traffic).
[2026-04-11 09:55:27] [ERROR] SIG-ICMP-FLOOD | 192.168.56.77 -> 192.168.1.1 | Possible ICMP flood detected | 26 ICMP packets arrived from 192.168.56.77 within 5 seconds.
[2026-04-11 09:57:18] [WARNING] ANOM-TRAFFIC-SPIKE | 2606:4700:83b2:7cbc:c2fe:8a4:5ff2:75c4 -> 2401:4900:6581:2e04:4437:cc47:7df:71b9:61510 | Traffic spike from a single source detected | 2606:4700:83b2:7cbc:c2fe:8a4:5ff2:75c4 generated 40/57 packets in the last 20 seconds (70% of recent traffic).
[2026-04-11 09:57:20] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2606:4700:83b2:7cbc:c2fe:8a4:5ff2:75c4:443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 40/127 packets in the last 20 seconds (31% of recent traffic).
[2026-04-11 09:57:21] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2401:4900:6581:2e04::58:53 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 48/146 packets in the last 20 seconds (33% of recent traffic).
[2026-04-11 09:57:21] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2606:4700:83b2:7cbc:c2fe:8a3:5ff2:75c4:443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 51/156 packets in the last 20 seconds (33% of recent traffic).
[2026-04-11 09:57:21] [WARNING] ANOM-LARGE-PACKET | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2606:4700:83b2:7cbc:c2fe:8a3:5ff2:75c4:443 | Unusually large packet observed | Current packet length 1292 bytes exceeded the recent baseline threshold of 900.0 bytes.
[2026-04-11 09:57:21] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2001:4860:482b:7700:::443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 59/177 packets in the last 20 seconds (33% of recent traffic).
[2026-04-11 09:57:21] [WARNING] ANOM-LARGE-PACKET | 20.50.88.233 -> 10.241.221.128:63915 | Unusually large packet observed | Current packet length 1329 bytes exceeded the recent baseline threshold of 900.0 bytes.
[2026-04-11 09:57:22] [WARNING] ANOM-LARGE-PACKET | 2606:4700:83b2:7cbc:c2fe:8a3:5ff2:75c4 -> 2401:4900:6581:2e04:4437:cc47:7df:71b9:59700 | Unusually large packet observed | Current packet length 1024 bytes exceeded the recent baseline threshold of 900.0 bytes.
[2026-04-11 09:57:25] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2404:6800:4007:805::2003:443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 118/338 packets in the last 20 seconds (35% of recent traffic).
[2026-04-11 09:57:25] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2404:6800:4007:836::200a:443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 120/340 packets in the last 20 seconds (35% of recent traffic).
[2026-04-11 09:57:25] [WARNING] ANOM-LARGE-PACKET | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2404:6800:4007:836::200a:443 | Unusually large packet observed | Current packet length 1329 bytes exceeded the recent baseline threshold of 900.0 bytes.
[2026-04-11 09:57:25] [WARNING] ANOM-LARGE-PACKET | 2404:6800:4007:836::200a -> 2401:4900:6581:2e04:4437:cc47:7df:71b9:61687 | Unusually large packet observed | Current packet length 1294 bytes exceeded the recent baseline threshold of 900.0 bytes.
[2026-04-11 09:57:25] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2401:4900:6581:2e04::58 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 137/381 packets in the last 20 seconds (36% of recent traffic).
[2026-04-11 09:57:26] [WARNING] ANOM-TRAFFIC-SPIKE | 2606:4700:83b2:7cbc:c2fe:8a4:5ff2:75c4 -> 2401:4900:6581:2e04:4437:cc47:7df:71b9:61510 | Traffic spike from a single source detected | 2606:4700:83b2:7cbc:c2fe:8a4:5ff2:75c4 generated 195/397 packets in the last 20 seconds (49% of recent traffic).
[2026-04-11 09:57:26] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> fe80::980a:b1ff:feda:5cbe | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 144/403 packets in the last 20 seconds (36% of recent traffic).
[2026-04-11 09:57:26] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2606:4700:83b1:c4f:6afd:8a4:a873:e7f:443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 145/404 packets in the last 20 seconds (36% of recent traffic).
[2026-04-11 09:57:26] [WARNING] ANOM-LARGE-PACKET | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2606:4700:83b1:c4f:6afd:8a4:a873:e7f:443 | Unusually large packet observed | Current packet length 1329 bytes exceeded the recent baseline threshold of 900.0 bytes.
[2026-04-11 09:57:26] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2606:4700:83b2:7cbc:c23b:8a3:5ff2:75c4:443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 150/410 packets in the last 20 seconds (37% of recent traffic).
[2026-04-11 09:57:26] [WARNING] ANOM-LARGE-PACKET | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2606:4700:83b2:7cbc:c23b:8a3:5ff2:75c4:443 | Unusually large packet observed | Current packet length 1329 bytes exceeded the recent baseline threshold of 900.0 bytes.
[2026-04-11 09:57:29] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2600:1901:0:47fc:::443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 240/564 packets in the last 20 seconds (43% of recent traffic).
[2026-04-11 09:57:29] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2606:4700:83b2:7cbc:c2fe:8a4:5ff2:75c4:443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 241/567 packets in the last 20 seconds (43% of recent traffic).
[2026-04-11 09:57:30] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2001:4860:482b:7700:::443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 267/626 packets in the last 20 seconds (43% of recent traffic).
[2026-04-11 09:57:34] [WARNING] ANOM-TRAFFIC-SPIKE | 2606:4700:83b2:7cbc:c2fe:8a4:5ff2:75c4 -> 2401:4900:6581:2e04:4437:cc47:7df:71b9:61510 | Traffic spike from a single source detected | 2606:4700:83b2:7cbc:c2fe:8a4:5ff2:75c4 generated 326/750 packets in the last 20 seconds (43% of recent traffic).
[2026-04-11 09:57:34] [WARNING] ANOM-LARGE-PACKET | 2606:4700:83b2:7cbc:c2fe:8a4:5ff2:75c4 -> 2401:4900:6581:2e04:4437:cc47:7df:71b9:61510 | Unusually large packet observed | Current packet length 1329 bytes exceeded the recent baseline threshold of 1289.7 bytes.
[2026-04-11 09:57:37] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2404:6800:4007:810::200e:443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 313/760 packets in the last 20 seconds (41% of recent traffic).
